ts_ms,research_source_1_ang_pct_span_10
1673510400000,2.73877883
1673524800000,2.72761846
1673539200000,2.72265244
1673553600000,2.55120111
1673568000000,2.30980921
1673582400000,2.03398252
1673596800000,1.72917962
1673611200000,1.37336111
1673625600000,1.35432124
1673640000000,1.78712606
1673654400000,2.53899646
1673668800000,3.11381721
1673683200000,3.6155951
1673697600000,4.12527943
1673712000000,4.8338809
1673726400000,5.61339855
1673740800000,6.33987474
1673755200000,6.80138445
1673769600000,7.03514719
1673784000000,7.08931923
1673798400000,7.07624435
1673812800000,7.30705643
1673827200000,7.81625891
1673841600000,7.92866373
1673856000000,7.78640175
1673870400000,7.6680131
1673884800000,7.83790255
1673899200000,7.88215208
1673913600000,7.75531673
1673928000000,7.72037458
1673942400000,7.66595459
1673956800000,7.30982256
1673971200000,7.31477356
1673985600000,7.45760012
1674000000000,7.5982995
1674014400000,7.57856178
1674028800000,7.68672276
1674043200000,7.72718811
1674057600000,7.98586416
1674072000000,7.89407825
1674086400000,7.64707899
1674100800000,7.25993061
1674115200000,6.96476698
1674129600000,6.84236717
1674144000000,6.80654573
1674158400000,6.69494057
1674172800000,6.75468016
1674187200000,6.4595046
1674201600000,6.53881693
1674216000000,6.78828049
1674230400000,7.14068174
1674244800000,7.64455414
1674259200000,7.95606995
1674273600000,8.16059017
1674288000000,8.46110058
1674302400000,8.70380116
1674316800000,9.08487701
1674331200000,9.2867012
1674345600000,9.50545788
1674360000000,9.68352509
1674374400000,9.6689167
1674388800000,9.76376915
1674403200000,9.79756451
1674417600000,9.83982372
1674432000000,9.97695446
1674446400000,10.0919342
1674460800000,10.4603825
1674475200000,10.6871262
